name
Сибирская
Мейн-кун
Британская короткошерстная
Шотландская прямоухая
Сиамская
Персидская
Русская голубая
Абиссинская
Норвежская лесная
Бурманская
Курильский бобтейл
Кимри
Рэгдолл
Бенгальская
Тайская
Йоркская
Петемурская
Турецкий ангоры
Египетская мау
Американская короткошерстная
Японская бобтейл
Финская
Канадский сфинкс
Девон-рекс
Афганская
Петербургский сфинкс
Ангорская
Китайская
Сомали
Каракал
Ла-перм
Бразильская
